Postcode,Latitude,Longitude,Easting,Northing,GridRef,County,District,Ward,DistrictCode,WardCode,Country,CountyCode,Constituency,Introduced,Terminated,Parish,NationalPark,Population,Households,Built up area,Built up sub-division,Lower layer super output area,Rural/urban,Region
G32 8EF,55.829346,-4.157074,264982,661672,NS649616,,Glasgow City,Shettleston, S12000046,S13002659,Scotland,S99999999,Glasgow East,01/11/1988,,,,27,22,,,Shettleston South - 03,Large urban area,
G32 8EG,55.828481,-4.157234,264969,661576,NS649615,,Glasgow City,Shettleston, S12000046,S13002659,Scotland,S99999999,Glasgow East,01/02/1986,,,,2,1,,,Shettleston South - 03,Large urban area,
G32 8EH,55.829812,-4.155136,265105,661720,NS651617,,Glasgow City,Shettleston, S12000046,S13002659,Scotland,S99999999,Glasgow East,01/01/1980,,,,15,5,,,Carmyle and Mount Vernon South - 03,Large urban area,
G32 8EJ,55.830252,-4.15516,265105,661769,NS651617,,Glasgow City,Shettleston, S12000046,S13002659,Scotland,S99999999,Glasgow East,01/01/1980,,,,26,9,,,Carmyle and Mount Vernon South - 03,Large urban area,
G32 8EL,55.830233,-4.155734,265069,661768,NS650617,,Glasgow City,Shettleston, S12000046,S13002659,Scotland,S99999999,Glasgow East,01/01/1980,,,,24,8,,,Carmyle and Mount Vernon South - 03,Large urban area,
G32 8EN,55.84459,-4.189546,263002,663432,NS630634,,Glasgow City,Calton, S12000046,S13002649,Scotland,S99999999,Glasgow East,01/12/1985,,,,109,46,,,Braidfauld - 06,Large urban area,
G32 8EP,55.830609,-4.155803,265066,661810,NS650618,,Glasgow City,Shettleston, S12000046,S13002659,Scotland,S99999999,Glasgow East,01/01/1980,,,,33,14,,,Carmyle and Mount Vernon South - 03,Large urban area,
G32 8EQ,55.829782,-4.155821,265062,661718,NS650617,,Glasgow City,Shettleston, S12000046,S13002659,Scotland,S99999999,Glasgow East,01/01/1980,,,,29,14,,,Carmyle and Mount Vernon South - 03,Large urban area,
G32 8ER,55.837029,-4.163313,264618,662539,NS646625,,Glasgow City,Shettleston, S12000046,S13002659,Scotland,S99999999,Glasgow East,01/09/1986,,,,38,15,,,Shettleston South - 02,Large urban area,
G32 8ES,55.841146,-4.163781,264603,662998,NS646629,,Glasgow City,Shettleston, S12000046,S13002659,Scotland,S99999999,Glasgow East,01/03/1985,,,,67,21,,,Shettleston South - 01,Large urban area,
G32 8ET,55.837439,-4.167041,264386,662592,NS643625,,Glasgow City,Shettleston, S12000046,S13002659,Scotland,S99999999,Glasgow East,01/09/1987,,,,63,24,,,Shettleston South - 02,Large urban area,
G32 8EU,55.838109,-4.167781,264342,662668,NS643626,,Glasgow City,Shettleston, S12000046,S13002659,Scotland,S99999999,Glasgow East,01/05/1989,,,,139,49,,,Shettleston South - 02,Large urban area,
G32 8EW,55.83739,-4.165249,264498,662583,NS644625,,Glasgow City,Shettleston, S12000046,S13002659,Scotland,S99999999,Glasgow East,01/06/1986,,,,85,32,,,Shettleston South - 02,Large urban area,
G32 8EX,55.833942,-4.176284,263795,662221,NS637622,,Glasgow City,Shettleston, S12000046,S13002659,Scotland,S99999999,Glasgow East,01/09/1985,,,,0,0,,,Shettleston South - 03,Large urban area,
G32 8EY,55.832301,-4.174548,263898,662035,NS638620,,Glasgow City,Shettleston, S12000046,S13002659,Scotland,S99999999,Glasgow East,01/06/1990,,,,0,0,,,Shettleston South - 03,Large urban area,
G32 8EZ,55.829641,-4.162296,264656,661715,NS646617,,Glasgow City,Shettleston, S12000046,S13002659,Scotland,S99999999,Glasgow East,01/12/1995,,,,82,30,,,Shettleston South - 03,Large urban area,
G32 8FA,55.832315,-4.168161,264298,662024,NS642620,,Glasgow City,Shettleston, S12000046,S13002659,Scotland,S99999999,Glasgow East,01/06/1997,,,,0,0,,,Shettleston South - 03,Large urban area,
G32 8FB,55.834526,-4.176812,263764,662287,NS637622,,Glasgow City,Shettleston, S12000046,S13002659,Scotland,S99999999,Glasgow East,01/02/2005,,,,0,0,,,Shettleston South - 03,Large urban area,
