Postcode,Latitude,Longitude,Easting,Northing,GridRef,County,District,Ward,DistrictCode,WardCode,Country,CountyCode,Constituency,Introduced,Terminated,Parish,NationalPark,Population,Households,Built up area,Built up sub-division,Lower layer super output area,Rural/urban,Region
EH4 6EY,55.962217,-3.287608,319715,675104,NT197751,,City of Edinburgh,Almond, S12000036,S13002583,Scotland,S99999999,Edinburgh West,01/01/1980,,,,43,21,,,"Barnton, Cammo and Cramond South - 04",Large urban area,
EH4 6EZ,55.961227,-3.304796,318640,675014,NT186750,,City of Edinburgh,Almond, S12000036,S13002583,Scotland,S99999999,Edinburgh West,01/01/2015,,,,,,,,"Barnton, Cammo and Cramond South - 03",Large urban area,
EH4 6GU,55.976143,-3.296292,319202,676664,NT192766,,City of Edinburgh,Almond, S12000036,S13002583,Scotland,S99999999,Edinburgh West,01/09/2013,,,,0,0,,,Cramond - 01,Large urban area,
EH4 6GW,55.976391,-3.295819,319232,676691,NT192766,,City of Edinburgh,Almond, S12000036,S13002583,Scotland,S99999999,Edinburgh West,01/05/2014,,,,0,0,,,Cramond - 01,Large urban area,
EH4 6GX,55.969602,-3.308138,318449,675950,NT184759,,City of Edinburgh,Almond, S12000036,S13002583,Scotland,S99999999,Edinburgh West,01/05/2006,,,,42,24,,,Cramond - 03,Large urban area,
EH4 6GY,55.975899,-3.293816,319356,676634,NT193766,,City of Edinburgh,Almond, S12000036,S13002583,Scotland,S99999999,Edinburgh West,01/09/2006,,,,53,12,,,Cramond - 01,Large urban area,
EH4 6GZ,55.975898,-3.294793,319295,676635,NT192766,,City of Edinburgh,Almond, S12000036,S13002583,Scotland,S99999999,Edinburgh West,01/11/2005,,,,59,22,,,Cramond - 01,Large urban area,
EH4 6HA,55.969138,-3.307001,318519,675897,NT185758,,City of Edinburgh,Almond, S12000036,S13002583,Scotland,S99999999,Edinburgh West,01/03/2003,,,,5,1,,,Cramond - 03,Large urban area,
EH4 6HD,55.963983,-3.289685,319589,675303,NT195753,,City of Edinburgh,Almond, S12000036,S13002583,Scotland,S99999999,Edinburgh West,01/01/1980,,,,97,33,,,"Barnton, Cammo and Cramond South - 04",Large urban area,
EH4 6HE,55.964376,-3.289073,319628,675346,NT196753,,City of Edinburgh,Almond, S12000036,S13002583,Scotland,S99999999,Edinburgh West,01/01/1980,,,,113,44,,,"Barnton, Cammo and Cramond South - 04",Large urban area,
EH4 6HF,55.962954,-3.292727,319397,675192,NT193751,,City of Edinburgh,Almond, S12000036,S13002583,Scotland,S99999999,Edinburgh West,01/01/1980,,,,17,6,,,"Barnton, Cammo and Cramond South - 04",Large urban area,
EH4 6HG,55.962559,-3.290951,319507,675146,NT195751,,City of Edinburgh,Almond, S12000036,S13002583,Scotland,S99999999,Edinburgh West,01/01/1980,,,,41,17,,,"Barnton, Cammo and Cramond South - 04",Large urban area,
EH4 6HH,55.962518,-3.296605,319154,675148,NT191751,,City of Edinburgh,Almond, S12000036,S13002583,Scotland,S99999999,Edinburgh West,01/01/1980,,,,89,37,,,"Barnton, Cammo and Cramond South - 04",Large urban area,
EH4 6HJ,55.962606,-3.298434,319040,675160,NT190751,,City of Edinburgh,Almond, S12000036,S13002583,Scotland,S99999999,Edinburgh West,01/01/1980,,,,103,51,,,"Barnton, Cammo and Cramond South - 04",Large urban area,
EH4 6HL,55.962006,-3.295691,319210,675090,NT192750,,City of Edinburgh,Almond, S12000036,S13002583,Scotland,S99999999,Edinburgh West,01/01/1980,,,,65,26,,,"Barnton, Cammo and Cramond South - 04",Large urban area,
EH4 6HN,55.962319,-3.295813,319203,675125,NT192751,,City of Edinburgh,Almond, S12000036,S13002583,Scotland,S99999999,Edinburgh West,01/01/1980,,,,81,31,,,"Barnton, Cammo and Cramond South - 04",Large urban area,
EH4 6HP,55.961697,-3.292605,319402,675052,NT194750,,City of Edinburgh,Almond, S12000036,S13002583,Scotland,S99999999,Edinburgh West,01/01/1980,,,,4,1,,,"Barnton, Cammo and Cramond South - 04",Large urban area,
EH4 6HQ,55.962232,-3.292174,319430,675111,NT194751,,City of Edinburgh,Almond, S12000036,S13002583,Scotland,S99999999,Edinburgh West,01/01/1980,,,,22,7,,,"Barnton, Cammo and Cramond South - 04",Large urban area,
EH4 6HR,55.971489,-3.284231,319945,676132,NT199761,,City of Edinburgh,Almond, S12000036,S13002583,Scotland,S99999999,Edinburgh West,01/01/1980,,,,2,1,,,Siverknowes and Davidson's Mains - 06,Large urban area,
EH4 6HS,55.974133,-3.290071,319586,676433,NT195764,,City of Edinburgh,Almond, S12000036,S13002583,Scotland,S99999999,Edinburgh West,01/01/1980,,,,12,4,,,Cramond - 01,Large urban area,
EH4 6HU,55.969705,-3.30013,318949,675952,NT189759,,City of Edinburgh,Almond, S12000036,S13002583,Scotland,S99999999,Edinburgh West,01/01/1980,,,,,,,,Cramond - 03,Large urban area,
EH4 6HW,55.962671,-3.28711,319747,675154,NT197751,,City of Edinburgh,Almond, S12000036,S13002583,Scotland,S99999999,Edinburgh West,01/01/1980,,,,32,10,,,"Barnton, Cammo and Cramond South - 04",Large urban area,
EH4 6HX,55.975528,-3.300966,318909,676601,NT189766,,City of Edinburgh,Almond, S12000036,S13002583,Scotland,S99999999,Edinburgh West,01/01/1980,,,,0,0,,,Cramond - 02,Large urban area,
EH4 6HY,55.974367,-3.304549,318683,676476,NT186764,,City of Edinburgh,Almond, S12000036,S13002583,Scotland,S99999999,Edinburgh West,01/01/1980,,,,29,17,,,Cramond - 02,Large urban area,
EH4 6HZ,55.978331,-3.297551,319128,676909,NT191769,,City of Edinburgh,Almond, S12000036,S13002583,Scotland,S99999999,Edinburgh West,01/05/1992,,,,6,3,,,Cramond - 01,Large urban area,
